t_ms,errH,errV,pulseH_us,pulseV_us,tl,tr,bl,br,v_panel_mV,i_panel_mA,v_load_mV,i_load_mA
0,273,-83,1500,1500,3845,1577,3210,3228,4033,139,3872,288
100,2096,-984,1380,1380,3815,1586,3126,3259,3993,137,3832,421
200,2126,-952,1380,1380,3821,1585,3124,3234,4032,161,3833,426
300,2338,-960,1380,1380,3871,1591,3240,3182,4062,186,3847,402
406,2547,-957,1380,1380,3926,1626,3378,3131,4084,206,3848,436
507,2694,-896,1380,1380,3977,1688,3483,3078,4105,219,3860,399
607,2760,-786,1380,1380,4023,1791,3564,3036,4114,224,3862,393
707,2720,-616,1380,1380,4052,1937,3605,3000,4106,221,3862,376
813,2552,-320,1380,1380,4068,2115,3551,2952,4093,212,3854,398
921,2299,31,1380,1500,4070,2308,3442,2905,4120,206,3887,280
1024,2088,316,1380,1500,4077,2553,3439,2875,4116,206,3886,287
1124,1931,517,1380,1620,4080,2764,3471,2856,4120,205,3893,273
1224,1829,629,1380,1620,4081,2919,3519,2852,4101,214,3864,388
1324,1822,574,1380,1620,4079,2953,3577,2881,4114,229,3859,392
1429,1874,416,1380,1620,4078,2912,3641,2933,4136,243,3875,394
1530,1985,201,1380,1500,4081,2751,3643,2988,4173,255,3896,277
1630,1998,96,1380,1500,4081,2670,3621,3034,4177,257,3896,292
1730,1796,240,1380,1500,4081,2817,3595,3063,4182,260,3902,277
1836,1569,413,1380,1500,4077,3000,3578,3086,4190,263,3905,274
1941,1357,585,1380,1620,4076,3180,3566,3105,4150,264,3860,439
2042,1267,615,1380,1620,4080,3289,3615,3139,4171,273,3878,390
2142,1466,310,1380,1620,4083,3122,3700,3195,4180,281,3879,388
2242,1722,-64,1380,1500,4085,2841,3734,3256,4216,286,3912,287
2342,1764,-190,1380,1500,4086,2760,3737,3299,4220,287,3913,272
2450,1575,-65,1380,1500,4086,2895,3715,3331,4220,289,3911,277
2551,1327,141,1380,1500,4086,3066,3659,3352,4225,291,3912,273
2651,1030,406,1380,1500,4086,3258,3570,3368,4221,293,3912,277
2758,713,625,1380,1620,4086,3423,3467,3417,4185,294,3880,412
2867,292,560,1500,1620,4086,3581,3447,3660,4209,300,3883,374
2974,56,376,1500,1620,4087,3707,3547,3871,4230,301,3891,329
3075,-56,282,1500,1500,4087,3777,3608,3974,4222,300,3932,208
3175,-104,224,1500,1500,4087,3803,3639,4027,4254,301,3936,208
3275,-131,193,1500,1500,4087,3818,3656,4056,4254,300,3903,206
3375,-144,178,1500,1500,4087,3825,3664,4070,4254,300,3943,202
3481,-150,168,1500,1500,4087,3828,3669,4078,4254,300,3932,207
3582,-152,162,1500,1500,4087,3829,3672,4082,4250,300,3936,208
3682,-149,155,1500,1500,4087,3829,3677,4084,4254,300,3936,208
3789,-146,150,1500,1500,4087,3830,3682,4085,4249,297,3932,208
3889,-142,144,1500,1500,4087,3831,3688,4086,4245,297,3928,205
3993,-141,141,1500,1500,4086,3832,3691,4086,4249,297,3932,208
4094,-142,142,1500,1500,4086,3831,3689,4086,4249,297,3932,207
4194,-142,142,1500,1500,4086,3828,3686,4086,4249,298,3936,208
4294,-144,142,1500,1500,4086,3825,3682,4087,4245,297,3936,207
4394,-144,142,1500,1500,4086,3821,3678,4087,4249,297,3932,205
4500,-145,143,1500,1500,4086,3822,3678,4087,4245,296,3936,208
4601,-143,141,1500,1500,4086,3824,3682,4087,4241,294,3936,206
4701,-139,137,1500,1500,4086,3827,3689,4087,4241,293,3932,208
4804,-134,132,1500,1500,4086,3828,3695,4087,4241,293,3932,224
4912,-132,130,1500,1500,4086,3826,3695,4087,4241,294,3932,207
5012,-134,132,1500,1500,4086,3824,3691,4087,4245,295,3932,208
5113,-134,132,1500,1500,4086,3819,3686,4087,4241,295,3932,208
5213,-134,132,1500,1500,4086,3815,3682,4087,4245,294,3932,209
5313,-135,133,1500,1500,4086,3813,3679,4087,4241,294,3932,207
5421,-139,137,1500,1500,4086,3817,3679,4087,4241,291,3928,208
5521,-139,137,1500,1500,4086,3821,3683,4087,4236,289,3928,205
5622,-136,134,1500,1500,4086,3823,3688,4087,4237,290,3932,204
5722,-137,135,1500,1500,4086,3819,3683,4087,4241,291,3932,207
5825,-134,132,1500,1500,4086,3809,3676,4087,4241,293,3928,208
5930,-130,128,1500,1500,4086,3801,3672,4087,4241,292,3936,208
6030,-132,130,1500,1500,4086,3803,3672,4087,4237,290,3928,209
6131,-129,127,1500,1500,4086,3807,3679,4087,4236,289,3932,208
6231,-122,120,1500,1500,4086,3807,3686,4087,4236,289,3928,208
6331,-116,114,1500,1500,4086,3808,3693,4087,4236,288,3928,208
6439,-114,112,1500,1500,4086,3809,3696,4087,4232,285,3928,208
6539,-113,111,1500,1500,4086,3808,3696,4087,4232,284,3928,205
6640,-115,113,1500,1500,4086,3805,3691,4087,4212,286,3928,204
6755,-124,122,1500,1500,4086,3803,3680,4087,4232,288,3927,205
6855,-131,129,1500,1500,4086,3802,3672,4087,4236,286,3928,208
6960,-135,133,1500,1500,4086,3802,3668,4087,4228,284,3932,208
7061,-140,138,1500,1500,4086,3805,3666,4087,4232,284,3928,208
7161,-142,140,1500,1500,4086,3803,3662,4087,4232,285,3928,205
7261,-144,142,1500,1500,4086,3799,3656,4087,4236,285,3928,206
7361,-144,142,1500,1500,4086,3793,3650,4087,4232,285,3932,206
7467,-146,144,1500,1500,4086,3790,3645,4087,4228,283,3928,208
7568,-152,150,1500,1500,4086,3793,3642,4087,4228,283,3928,208
7668,-154,154,1500,1500,4087,3793,3639,4087,4228,283,3932,208
7772,-154,152,1500,1500,4086,3791,3638,4087,4232,283,3928,208
7873,-152,150,1500,1500,4086,3788,3637,4087,4228,283,3926,214
7979,-149,147,1500,1500,4086,3786,3638,4087,4228,281,3928,205
8080,-150,150,1500,1500,4086,3786,3636,4086,4228,281,3928,209
8180,-149,149,1500,1500,4086,3783,3634,4086,4224,281,3928,205
8280,-149,147,1500,1500,4086,3775,3627,4087,4228,283,3928,205
8380,-142,140,1500,1500,4086,3767,3626,4087,4208,283,3928,204
8486,-142,140,1500,1500,4086,3763,3622,4087,4228,282,3935,209
8587,-148,146,1500,1500,4086,3765,3618,4087,4212,281,3932,208
8687,-156,154,1500,1500,4086,3769,3614,4087,4204,280,3928,208
8793,-158,156,1500,1500,4086,3769,3612,4087,4228,280,3928,206
8894,-150,148,1500,1500,4086,3765,3616,4087,4200,280,3932,227
8998,-142,140,1500,1500,4086,3759,3618,4087,4224,280,3928,209
9099,-145,145,1500,1500,4086,3757,3612,4086,4224,280,3928,222
9199,-145,145,1500,1500,4086,3754,3609,4086,4204,281,3928,208
9299,-140,138,1500,1500,4086,3752,3613,4087,4228,282,3890,204
9416,-127,125,1500,1500,4086,3750,3624,4087,4228,282,3922,222
9516,-120,118,1500,1500,4086,3747,3628,4087,4232,281,3928,205
9617,-128,126,1500,1500,4086,3747,3620,4087,4223,279,3928,206
9717,-144,142,1500,1500,4086,3756,3613,4087,4223,277,3918,217
9822,-149,147,1500,1500,4086,3763,3615,4087,4223,275,3928,210
9925,-145,143,1500,1500,4086,3763,3619,4087,4219,276,3936,281
10025,-132,130,1500,1500,4086,3757,3626,4087,4223,277,3928,208
10126,-120,118,1500,1500,4086,3750,3631,4087,4227,279,3928,208
10226,-113,111,1500,1500,4086,3747,3635,4087,4223,279,3932,208
